,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
06-09,,,,,,,,,279.3,195.74,214.01,251.12,,,240.36,245.0,343.5,306.0,382.15,,402.0,549.5,373.25
06-10,,,,,,,,,275.85,199.96,216.17,248.42,,216.37,242.8,246.0,337.85,,,422.0,400.3,538.5,369.5
06-11,,,,,,,,203.22,279.02,201.05,214.98,,198.83,208.7,249.66,245.2,,,384.55,422.9,376.1,536.2,369.1
06-12,,,,,,,,203.22,279.02,201.05,,,198.83,208.7,249.66,245.2,,306.0,,,,,370.05
06-13,,,,,,,,203.73,279.02,,,248.42,197.89,208.93,249.66,,337.85,312.15,382.0,422.0,,,366.85
06-14,,,,,,,,208.32,,,214.98,248.47,197.34,210.93,,,324.8,304.3,381.7,408.0,,539.9,371.6
06-15,,,,,,,,210.17,,188.48,220.62,245.92,201.18,,,243.4,322.85,301.6,383.25,,366.15,536.4,375.65
06-16,,,,,,,,,279.2,191.73,217.53,247.65,,,253.3,245.7,316.3,306.5,,,371.4,544.65,383.0
06-17,,,,,,,,,282.84,181.21,206.13,241.42,,215.71,251.59,245.9,320.65,,,408.1,371.75,538.95,384.45
06-18,,,,,,,,209.54,282.1,177.0,207.49,,201.62,218.53,250.87,245.0,,,387.0,411.7,373.65,540.85,382.35
06-19,,,,,,,,206.67,281.49,181.78,,,200.98,219.34,249.89,250.0,,311.0,392.35,409.25,376.15,,383.8
06-20,,,,,,,,208.28,278.0,,,237.02,201.75,220.54,250.11,,336.0,316.0,390.2,419.75,,,389.8
06-21,,,,,,,,205.46,,,210.08,235.16,207.55,222.0,,,340.95,318.4,392.75,419.1,,539.3,381.3
06-22,,,,,,,,205.62,,167.85,205.35,234.37,204.39,,,251.6,337.75,319.0,390.8,,374.25,551.05,377.6
06-23,,,,,,,,,268.99,164.99,202.35,229.07,,,252.3,250.0,348.0,322.0,,,375.95,570.0,378.4
06-24,,,,,,,,,265.58,173.0,198.6,231.3,,226.93,257.81,246.05,333.65,,,416.45,,566.0,377.0
06-25,,,,,,,,204.01,262.53,169.73,196.48,,201.08,231.26,250.0,238.55,,,393.95,412.15,369.8,564.7,377.55
06-26,,,,,,,,205.04,263.42,167.42,,,199.76,228.98,249.24,229.9,,321.0,389.3,415.9,368.8,,376.1
06-27,,,,,,,,203.27,273.36,,,228.78,202.91,223.28,249.49,,328.05,327.3,394.6,415.1,,,376.65
06-28,,,,,,,,205.85,,,202.97,234.23,202.75,226.9,,,327.0,332.4,396.5,414.5,,555.0,381.85
06-29,,,,,,,,204.7,,172.31,194.71,235.97,204.5,,,229.65,331.5,333.0,396.15,,364.05,553.05,384.2
06-30,,,,,,,,,272.68,168.39,192.79,236.17,,,249.3,232.0,330.0,323.0,,,360.8,571.2,362.25
07-01,,,,,,,,,264.05,173.09,184.76,235.41,,229.3,250.16,232.0,332.45,,,417.8,,581.45,375.15
07-02,,,,,,,,205.11,264.56,167.96,188.95,,204.44,227.49,255.19,231.2,,,394.7,417.0,367.05,567.0,380.25
07-03,,,,,,,,205.61,264.92,169.79,,,211.49,229.56,257.7,228.4,,329.4,389.95,420.0,364.95,,376.15
07-04,,,,,,,,204.98,255.57,,,237.31,212.51,230.08,253.9,,331.2,332.4,393.25,422.55,,,371.6
07-05,,,,,,,,212.56,,,187.67,238.4,211.81,229.18,,,329.4,327.2,406.05,418.65,,567.5,371.5
07-06,,,,,,,,213.88,,163.5,192.89,236.71,207.66,,,222.8,320.5,324.5,403.4,,370.1,571.0,369.65
07-07,,,,,,,,,255.39,161.71,190.83,241.7,,,248.99,220.5,320.9,317.8,,,366.9,580.25,364.95
07-08,,,,,,,,,253.35,157.65,188.71,239.31,,233.65,249.99,219.0,325.0,,,419.25,365.7,581.1,351.2
07-09,,,,,,,,215.73,249.41,156.72,187.42,,207.71,232.71,247.95,223.6,,,408.15,420.95,363.85,577.85,354.95
07-10,,,,,,,,210.73,250.9,159.15,,,207.76,233.67,244.95,227.0,,320.5,413.2,423.25,364.5,,352.0
07-11,,,,,,,,212.41,249.1,,,235.51,204.01,240.21,246.01,,328.35,319.6,409.85,418.4,,,343.8
07-12,,,,,,,,222.21,,,189.44,235.63,203.62,246.55,,,339.4,320.55,406.45,419.25,,579.0,333.5
07-13,,,,,,,,221.66,,158.18,194.8,235.42,206.16,,,231.5,336.5,318.0,406.9,,356.3,576.0,321.0
07-14,,,,,,,,,261.24,160.51,192.91,235.65,,,242.0,228.8,336.5,318.0,,,354.4,569.0,315.45
07-15,,,,,,,,,257.14,167.28,188.86,234.02,,247.25,241.92,230.5,335.0,,,418.4,356.0,562.5,330.5
07-16,,,,,,,,224.31,259.09,167.75,185.5,,206.6,245.98,244.18,233.9,,,407.3,420.4,360.7,563.45,332.45
07-17,,,,,,,,223.46,269.57,171.87,,,208.81,248.47,233.7,232.0,,315.9,399.5,421.1,360.5,,330.9
07-18,,,,,,,,220.23,253.3,,,228.99,208.15,244.6,231.75,,333.7,315.1,400.9,417.0,,,326.0
07-19,,,,,,,203.51,224.29,,,185.25,232.06,208.4,243.46,,,329.5,318.5,400.5,420.45,,543.9,320.75
07-20,,,,,,,203.73,222.38,,175.04,183.46,234.51,205.39,,,227.2,329.05,317.85,393.25,,361.0,547.5,330.0
07-21,,,,,,,201.84,,251.25,179.47,186.2,237.5,,,225.91,227.05,334.3,317.4,,,365.6,551.9,328.2
07-22,,,,,,,,,250.64,175.32,190.05,241.82,,243.2,226.76,226.95,334.3,,,420.45,362.85,553.65,340.0
07-23,,,,,,,,223.99,250.06,184.54,199.44,,198.29,243.98,221.8,223.2,,,394.5,428.0,362.9,548.85,339.15
07-24,,,,,,,202.0,218.58,240.04,186.09,,,197.49,242.66,222.45,220.6,,313.3,394.9,427.6,359.25,,342.0
07-25,,,,,,,202.6,218.8,228.2,,,242.12,192.39,240.95,220.84,,334.0,314.15,395.8,428.95,,,336.6
07-26,,,,,,,203.02,213.2,,,206.15,241.57,196.53,241.09,,,330.0,310.0,397.35,423.5,,552.7,347.0
07-27,,,,,,,203.51,207.8,,186.3,208.55,237.53,197.64,,,220.5,329.9,310.0,403.5,,356.9,551.2,348.7
07-28,,,,,,,203.03,,232.2,182.13,201.93,239.41,,,218.21,222.9,334.0,305.9,,,356.75,554.25,344.3
07-29,,,,,,,,,237.93,181.57,205.26,235.75,,239.11,220.3,229.0,325.5,,,421.9,360.0,554.0,353.0
07-30,,,,,,,,209.8,242.87,191.14,203.1,,202.39,236.19,224.0,230.1,,,406.45,420.45,354.25,544.5,350.55
07-31,,,,,,,202.6,213.36,245.9,190.87,,,195.44,234.94,223.0,236.7,,311.3,419.0,421.95,356.5,,351.2
08-01,,,,,,,202.49,207.88,241.52,,,239.32,197.61,238.28,221.79,,325.6,316.1,416.6,419.4,,,348.0
08-02,,,,,,,201.97,209.74,,,209.39,236.41,193.24,237.63,,,317.35,322.0,416.8,411.75,,548.85,335.8
08-03,,,,,,,200.75,209.54,,199.22,206.79,230.06,193.62,,,233.05,323.25,317.0,411.25,,356.2,551.0,330.25
08-04,,,,,,,200.98,,232.14,200.87,208.26,224.86,,,219.9,233.05,329.0,316.0,,,360.0,543.5,324.6
08-05,,,,,,,,,216.33,197.39,207.22,219.37,,238.92,220.0,236.15,329.9,,,406.3,364.55,548.0,322.7
08-06,,,,,,,,207.58,221.18,198.73,205.02,,196.08,233.81,219.55,233.65,,,419.35,412.0,367.7,544.9,328.7
08-07,,,,,,,200.14,208.5,223.52,203.61,,,199.83,232.21,221.0,235.55,,316.25,427.9,406.55,366.1,,329.95
08-08,,,,,,,196.83,211.94,207.04,,,207.29,202.36,229.11,219.54,,329.0,315.0,429.0,406.6,,,327.35
08-09,,,,,,,197.99,207.34,,,207.28,207.13,202.48,233.68,,,329.9,309.25,432.3,404.6,,545.0,339.65
