,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
06-15,,,,,,,,5301.12,,3216.68,5128.61,7035.0,5230.0,,,9758.0,8553.0,8011.0,11066.0,,19058.0,26068.0,19040.0
06-16,,,,,,,,,6433.85,3276.69,5092.3,7016.0,,,6649.0,9695.0,8498.0,8154.0,,,19472.0,25792.0,19370.0
06-17,,,,,,,,,6478.04,3033.37,4945.86,7035.0,,4658.0,6622.0,9680.0,8448.0,,,14506.0,19256.0,24894.0,19194.0
06-18,,,,,,,,5456.44,6424.68,2895.58,4903.49,,5287.0,4746.0,6780.0,9579.0,,,11051.0,14750.0,18926.0,24980.0,
06-19,,,,,,,,5279.63,6439.52,2797.79,,,5325.0,4711.0,6839.0,9685.0,,8250.0,11126.0,14868.0,19004.0,,
06-20,,,,,,,,5295.96,6363.11,,,6899.0,5302.0,4628.0,6865.0,,8300.0,8311.0,11243.0,14224.0,,,19180.0
06-21,,,,,,,,5291.07,,,5097.61,6921.0,5227.0,4498.0,,,8413.0,8290.0,11224.0,14180.0,,25208.0,18820.0
06-22,,,,,,,,5352.75,,2606.87,4991.31,7042.0,5247.0,,,9670.0,8349.0,7850.0,11222.0,,19100.0,24954.0,18940.0
06-23,,,,,,,,,6226.24,2499.16,4948.0,7030.0,,,6899.0,9503.0,8407.0,8015.0,,,19702.0,25390.0,19100.0
06-24,,,,,,,,,6058.05,2743.37,4887.85,7132.0,,4494.0,6895.0,9450.0,8380.0,,,14272.0,,24402.0,18934.0
06-25,,,,,,,,5294.13,5951.21,2671.85,4804.48,,5222.0,4599.0,6766.0,9400.0,,,11285.0,14060.0,19678.0,24734.0,
06-26,,,,,,,,5425.46,5944.35,2782.03,,,5302.0,4683.0,6720.0,9575.0,,7999.0,11222.0,14148.0,19730.0,,
06-27,,,,,,,,5317.09,6054.46,,,7133.0,5407.0,4702.0,6715.0,,8285.0,8126.0,11100.0,14168.0,,,18586.0
06-28,,,,,,,,5402.59,,,4872.79,7318.0,5354.0,4747.0,,,8480.0,8175.0,11115.0,14308.0,,24948.0,18252.0
06-29,,,,,,,,5355.04,,2929.7,4714.16,7318.0,5383.0,,,9540.0,8485.0,8180.0,11399.0,,19088.0,24702.0,17652.0
06-30,,,,,,,,,5918.78,2823.17,4527.22,7297.0,,,6719.0,9500.0,8540.0,8068.0,,,18700.0,24812.0,17400.0
07-01,,,,,,,,,5682.85,2964.1,4361.64,7361.0,,4749.0,6798.0,9215.0,8496.0,,,14236.0,,24612.0,17100.0
07-02,,,,,,,,5506.02,5734.38,2873.89,4503.21,,5404.0,4690.0,6920.0,9250.0,,,11600.0,14420.0,18734.0,25014.0,
07-03,,,,,,,,5540.08,5732.08,2812.19,,,5383.0,4629.0,7005.0,9263.0,,8246.0,11540.0,14432.0,18930.0,,
07-04,,,,,,,,5587.52,5732.41,,,7400.0,5345.0,4677.0,6971.0,,8861.0,8197.0,11458.0,14280.0,,,17024.0
07-05,,,,,,,,5678.68,,,4615.35,7494.0,5350.0,4611.0,,,8809.0,8288.0,11566.0,14450.0,,24924.0,16700.0
07-06,,,,,,,,5667.66,,2641.68,4744.95,7487.0,5350.0,,,9277.0,8772.0,8343.0,11698.0,,18074.0,24462.0,16452.0
07-07,,,,,,,,,5761.71,2619.79,4766.2,7544.0,,,7149.0,9340.0,8720.0,8373.0,,,18558.0,24658.0,16550.0
