,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
06-04,,,,,,,,130.4,200.18,140.0,203.31,,297.74,310.76,382.15,538.2,,,840.8,1296.0,1067.6,1570.8,
06-05,,,,,,,120.27,133.85,204.48,137.03,,,296.77,307.25,392.56,541.9,,609.0,845.3,1279.0,1086.4,,
06-06,,,,,,37.28,112.85,134.23,206.14,,,375.56,302.0,300.9,403.17,,651.1,618.0,853.0,1293.0,,,791.6
06-07,,,,,,37.28,108.0,132.15,,,200.87,376.21,319.8,309.06,,,673.9,615.0,845.0,1295.2,,1571.2,814.6
06-08,,,,,,37.28,97.67,131.66,,131.11,195.51,369.34,322.24,,,541.2,665.9,624.6,824.2,,1080.0,1582.4,812.2
06-09,,,,,,37.28,100.09,,201.38,136.2,196.59,371.1,,,405.93,547.3,680.0,634.3,827.1,,1078.0,1619.8,815.8
06-10,,,,,,37.28,,,197.92,138.76,201.07,364.4,,309.39,401.37,543.9,662.0,,,1298.4,1092.0,1571.0,798.0
06-11,,,,,,,,131.92,199.93,138.92,204.0,,322.5,305.13,400.7,543.5,,,828.2,1320.0,1068.4,1549.6,802.6
06-12,,,,,,,100.09,131.92,199.93,138.92,,,322.5,305.13,400.7,543.5,,634.3,,,,,803.8
06-13,,,,,,37.28,94.15,128.09,199.93,,,364.4,326.11,303.92,400.7,,662.0,616.1,824.0,1308.0,,,807.4
06-14,,,,,,37.12,93.88,129.88,,,204.0,359.09,325.25,315.06,,,663.6,622.2,813.8,1305.4,,1574.2,799.4
06-15,,,,,,36.58,97.83,132.78,,136.6,214.44,358.16,333.89,,,550.9,655.0,617.7,804.0,,1060.0,1566.0,847.0
06-16,,,,,,36.58,105.49,,204.55,136.93,221.85,348.86,,,407.99,546.9,649.3,616.9,,,1075.4,1591.4,887.2
06-17,,,,,,38.21,,,210.51,127.76,218.16,346.41,,332.2,408.34,545.0,669.6,,,1307.0,1072.2,1568.0,875.8
06-18,,,,,,,,132.6,208.4,127.96,219.44,,332.28,333.16,414.5,540.0,,,799.5,1309.8,1075.2,1561.0,885.8
06-19,,,,,,,107.0,131.44,209.92,122.31,,,329.55,327.49,416.95,547.1,,626.7,805.0,1275.4,1079.0,,888.6
06-20,,,,,,38.91,106.2,132.7,208.89,,,330.44,328.17,326.65,419.63,,667.0,619.8,847.0,1309.8,,,978.0
06-21,,,,,,38.91,104.79,129.47,,,222.64,338.54,319.74,335.44,,,659.6,611.0,832.3,1320.0,,1564.4,998.0
06-22,,,,,,39.49,108.0,130.06,,118.21,221.09,340.97,318.02,,,546.4,651.2,624.1,827.8,,1079.0,1544.8,1026.0
06-23,,,,,,39.49,108.0,,204.06,118.77,216.41,331.35,,,421.43,544.5,658.1,625.9,,,1083.2,1540.4,1010.0
06-24,,,,,,41.97,,,200.11,127.58,212.13,337.5,,348.6,427.45,541.7,630.3,,,1293.2,,1519.0,1003.0
06-25,,,,,,,,129.03,200.53,123.83,209.84,,311.84,342.33,417.5,531.1,,,829.1,1294.0,1057.6,1552.0,1009.2
06-26,,,,,,,120.73,133.02,198.53,123.01,,,313.48,346.69,415.28,546.5,,621.9,833.3,1306.0,1047.8,,1008.8
06-27,,,,,,41.97,118.0,129.91,201.85,,,337.44,316.95,344.75,418.0,,628.4,634.8,840.9,1330.4,,,1008.0
06-28,,,,,,45.5,118.0,132.88,,,211.45,342.16,305.99,348.68,,,627.8,635.6,845.0,1337.4,,1545.2,1005.8
06-29,,,,,,45.33,118.33,132.69,,125.08,208.24,340.84,326.71,,,549.9,641.9,641.7,852.8,,1040.0,1528.2,1019.0
06-30,,,,,,46.62,119.95,,200.45,128.01,209.43,345.76,,,420.0,557.7,647.6,645.5,,,1013.2,1608.0,1024.0
07-01,,,,,,46.4,,,199.93,137.04,207.11,367.58,,350.02,413.4,560.6,644.2,,,1305.2,,1657.8,1060.2
07-02,,,,,,,,134.79,207.0,131.04,214.02,,335.2,361.41,417.11,550.0,,,879.3,1305.4,1039.0,1657.0,1059.6
07-03,,,,,,,118.27,135.97,200.34,127.62,,,344.41,358.06,413.14,551.0,,658.9,879.9,1299.2,1045.0,,1062.0
07-04,,,,,,46.1,118.21,134.06,193.64,,,371.72,346.46,356.93,408.9,,641.5,657.7,874.7,1310.0,,,1025.0
07-05,,,,,,47.0,120.01,134.9,,,215.5,373.07,343.99,356.0,,,634.1,651.7,903.7,1308.4,,1681.2,970.2
07-06,,,,,,48.02,122.02,138.47,,120.33,220.88,379.52,330.47,,,557.6,632.0,646.5,907.2,,1044.0,1651.0,1009.6
07-07,,,,,,46.51,120.77,,198.78,121.32,221.35,382.28,,,413.0,559.4,640.0,641.0,,,1038.0,1640.0,998.0
07-08,,,,,,46.47,,,199.45,119.3,216.97,378.15,,358.28,412.0,561.2,638.5,,,1309.2,1042.8,1638.6,993.0
07-09,,,,,,,,139.87,200.21,117.78,214.65,,328.32,356.02,410.3,564.7,,,906.2,1322.0,1024.8,1612.4,991.0
07-10,,,,,,,120.0,137.19,202.63,116.47,,,328.51,349.35,400.23,565.5,,638.6,901.3,1320.0,1040.8,,1000.8
07-11,,,,,,47.09,121.23,136.12,198.32,,,374.87,324.37,356.72,400.0,,643.2,638.5,909.8,1317.0,,,968.6
07-12,,,,,,47.09,120.1,142.04,,,218.02,374.79,326.53,364.92,,,659.8,639.3,891.8,1288.8,,1614.8,942.0
07-13,,,,,,47.88,118.01,145.82,,119.21,224.1,373.22,346.22,,,575.0,660.5,633.5,897.2,,1055.0,1605.0,916.2
07-14,,,,,,47.88,114.0,,204.7,120.26,221.02,375.97,,,393.0,577.7,650.2,625.2,,,1060.0,1587.0,926.6
07-15,,,,,,47.85,,,200.53,122.55,219.04,371.48,,363.19,401.0,578.4,651.6,,,1274.2,1069.0,1556.2,953.0
07-16,,,,,,,,149.57,201.65,118.06,220.05,,353.95,367.12,400.1,577.7,,,898.0,1280.0,1075.0,1537.0,961.4
07-17,,,,,,,116.0,148.62,205.0,119.07,,,352.1,372.96,378.0,574.7,,625.0,886.0,1309.8,1092.0,,964.8
